City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Bethel,US,64.0,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
5,Svetlogorsk,BY,40.59,few clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
6,Hamilton,US,62.01,mist,39.1834,-84.5333,Six Acres Bed & Breakfast
9,Siniscola,IT,59.0,clear sky,40.5719,9.6922,Hotel Sa Tanca E Bore
12,Hobart,AU,46.0,moderate rain,-42.8794,147.3294,Mantra on Collins Hobart
14,Libourne,FR,55.99,mist,44.9167,-0.25,Hôtel Mercure Libourne Saint-Émilion
16,Hermanus,ZA,60.01,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
18,Comodoro Rivadavia,AR,57.2,clear sky,-45.8667,-67.5,Austral Hotel
19,Lompoc,US,60.8,scattered clouds,34.6391,-120.4579,Holiday Inn Express Lompoc
20,Thompson,CA,39.2,scattered clouds,55.7435,-97.8558,Burntwood Hotel
23,Mataura,NZ,62.01,broken clouds,-46.1927,168.8643,Ellie's Villa
24,Airai,TL,62.94,overcast clouds,-8.9266,125.4092,Juvinal Martin
30,New Norfolk,AU,46.0,light rain,-42.7826,147.0587,The Shingles Riverside Cottages
31,Grindavik,IS,33.8,light rain,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
32,Punta Arenas,CL,48.2,scattered clouds,-53.15,-70.9167,Hotel Dreams Del Estrecho
34,Bluff,NZ,62.01,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
36,Ithaca,US,69.8,clear sky,42.4406,-76.4966,Meadow Court Inn
38,Busselton,AU,59.0,light rain,-33.65,115.3333,Observatory Guest House
42,Ponta Do Sol,PT,60.01,overcast clouds,32.6667,-17.1,Hotel do Campo
43,Mingaora,PK,59.77,broken clouds,34.7758,72.3625,Burj Al Swat
46,Hasaki,JP,52.0,few clouds,35.7333,140.8333,Hotel Sunrise Choshi
48,Sibiti,CG,69.98,overcast clouds,-3.6819,13.3499,"LE PAPYRUS (hôtel, bar et restaurant)"
50,Dzhankoy,UA,44.33,overcast clouds,45.7167,34.4,"ОТЕЛЬ ""Карпаты"""
52,Qaqortoq,GL,37.4,scattered clouds,60.7167,-46.0333,Hotel Qaqortoq
61,Bolshevik,BY,46.4,clear sky,54.0065,27.5692,HOME APART Storozhovskaya str.6
62,Fortuna,US,57.0,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
63,Los Llanos De Aridane,ES,64.4,clear sky,28.6585,-17.9182,Valle Aridane
64,Flin Flon,CA,42.8,broken clouds,54.7682,-101.865,Victoria Inn Flin Flon
65,Mount Gambier,AU,53.6,broken clouds,-37.8333,140.7667,Commodore on the Park
66,Ushuaia,AR,50.0,scattered clouds,-54.8,-68.3,Albatros Hotel
67,Shaoyang,CN,55.58,overcast clouds,27.2315,111.4525,IU Hotel Shaoyang Xihu Road
69,Waipawa,NZ,66.2,broken clouds,-41.4122,175.5153,Tora Coastal Walk
72,Primorsk,UA,45.68,scattered clouds,46.7348,36.3443,Relax
74,Lata,PT,57.99,scattered clouds,40.1629,-8.3327,Casa Maquia
75,Faya,SA,62.6,few clouds,18.3851,42.4509,مقبرة ال مجمل
76,Komsomolskiy,UZ,55.4,clear sky,40.4272,71.7189,Ikathouse
